C00384516|02895|2018|333|333|1
C00384516|02895|2018|384|717|2
C00384516|02895|2018|384|1050|3
C00384516|02895|2018|384|1434|4
C00384516|02895|2018|384|1767|5
C00384516|02895|2018|384|2151|6
C00384516|02895|2018|384|2484|7
C00384516|02895|2018|384|2868|8
C00384516|02895|2018|384|3201|9
C00384516|02895|2018|384|3585|10
C00384516|02895|2018|384|3918|11
C00384516|02895|2018|384|4302|12
C00384516|02895|2018|384|4635|13
C00384516|02895|2018|384|5019|14
C00384516|02895|2018|384|5352|15
C00384516|02895|2018|384|5736|16
C00384516|02895|2018|384|6069|17
C00384516|02895|2018|384|6453|18
C00384516|02895|2018|384|6786|19
C00384516|02895|2018|384|7170|20
